DNI;apellido;nombre;puesto;id_tarjeta;usuario;contraseña
33268490;ABARNO;ARIEL;OPERARIO PRODUCCIÓN;;;
35884970;ABASCAL;WINSTON FRANKLIN;OPERARIO DEPÓSITO;;;
19873040;ABDALA;PABLO DANIEL;OPERARIO EXPEDICIÓN;;;
14553220;ABDALA;MERCEDES MARIA;ADMINISTRATIVO;;;
12473690;ABIN;JORGE MARIA;OFICIAL MANTENIMIENTO;;;
35939560;ABREU;ALCIDES;CLARKISTA;;;
34496480;ABREU;MIRTA GRACIELA;GERENTE GENERAL;;;
10333680;ABREU;SERGIO;OPERARIO LIMPIEZA;;;
11788330;ABUCHALJA;DORITA;TÉCNICO LABORATORIO;;;
16691920;CARRASCO;MARCELO HEBERT;INGENIERO LABORATORIO;;;
14911290;CARRASCO;JUAN JOSE;RECEPCIONISTA;;;
18004650;CARRASCO;SULANGEL;SEGURIDAD;;;
11686480;CARRAU;JAVIER;CONDUCTOR;;;
16936880;CARRAU;FERNANDO;TÉCNICO DESARROLLO;;;
42645350;CARRERA;CHARLES DANIEL;INGENIERO DESARROLLO;;;
14602720;CARRERA;JULIO;OPERARIO PRODUCCIÓN;;;
13145350;CARRERAS;ERNESTO;OPERARIO DEPÓSITO;;;
30183550;CARRESSE;LUIS MARIA;OPERARIO EXPEDICIÓN;;;
13752220;D`OLIVEIRA;SERGIO NEY;OFICIAL MANTENIMIENTO;;;
27157570;DA COSTA PORTO;HOMERO HECTOR;CLARKISTA;;;
26778930;DA ROSA;ANTONIO;CONTABLE;;;
41037200;DALERA;PABLO DANIEL;OPERARIO PRODUCCIÓN;;;
25642550;DALGALARRONDO;MARTIN ISMAEL;SECRETARIO;;;
14615360;DALL´ORSO;ATILIO LUIS NEY;GERENTE PRODUCTO;;;
11364190;DALMAS;SUSANA;OPERARIO PRODUCCIÓN;;;
15538240;D'AMADO;BRUNO RODOLFO;GERENTE DE AREA;;;
15886290;DAMASCO;ANABELLA ELIZABETH;OPERARIO PRODUCCIÓN;;;
14805890;ELHORRIBURU;LILIÁN SOLANGE;TÉCNICO DESARROLLO;;;
36528170;ELINGER;EDUARDO;OPERARIO PRODUCCIÓN;;;
27203270;ELIZALDE;JOSE;OPERARIO PRODUCCIÓN;;;
28029310;ELOSEGUI;EDUARDO;OPERARIO PRODUCCIÓN;;;
18691480;EMALDI;MARIA SILVIA;OPERARIO PRODUCCIÓN;;;
16387660;EMBID;ELIANA;OPERARIO PRODUCCIÓN;;;
13644010;EMMENENGGER;MARÍA ELENA;OPERARIO PRODUCCIÓN;;;
17969420;ENCISO;ELSA MABEL;OPERARIO PRODUCCIÓN;;;
19312210;FABRE;NESTOR LUIS;OPERARIO PRODUCCIÓN;;;
19846690;FACET;CARLOS ENRIQUE;OFICIAL MANTENIMIENTO;;;
13533390;FACHOLA;JORGE JULIO;CLARKISTA;;;
37882770;FAGALDE;GUSTAVO;OPERARIO PRODUCCIÓN;;;
13007320;FAGIANI;SONIA;OPERARIO DEPÓSITO;;;
18875610;FAGUNDEZ;HERIBERTO;OPERARIO EXPEDICIÓN;;;
15709440;GADEA;GERARDO DANIEL;ADMINISTRATIVO;;;
15529500;GADOLA;DANIEL RODNEY;SISTEMAS;;;
13579710;GAGLIANO;MARIA MARGARITA;ADMINISTRATIVO;;;
12414030;GALAN;MIGUEL ANGEL;ADMINISTRATIVO;;;
39814080;GALARZA;MARCELO DANIEL;OFICIAL MANTENIMIENTO;;;
34814730;GALLAND;GABRIEL;CLARKISTA;;;
29548630;GALLARETTA;EDUARDO;OPERARIO PRODUCCIÓN;;;
15778390;GALLI;HEBER ARTEMIS;OPERARIO DEPÓSITO;;;
19676600;GARCIA;CARLOS;OPERARIO EXPEDICIÓN;;;
38597860;GARCIA DA ROSA;JOSE MARIA;JEFE SEGURIDAD;;;
13098380;GARCIA PINTOS;DANIEL ROGELIO;ADMINISTRATIVO;;;
19910060;GARDELA;MILKA GIOVANNA;ADMINISTRATIVO;;;
20183920;HARGUINDEGUY;JOSE PEDRO;ADMINISTRATIVO;;;
10577590;HARRIAGUE;RICARDO ALBERTO;OPERARIO DEPÓSITO;;;
15174520;HARTMANN;RUBEN JORGE;OPERARIO DEPÓSITO;;;
12308230;HAURET;DANIEL;OPERARIO DEPÓSITO;;;
15491130;HEBER;LUIS ALBERTO;TÉCNICO LABORATORIO;;;
8378290;HEBERT;RONALD ALEXANDER;INGENIERO LABORATORIO;;;
28771170;HEINZEN;ELIDA HELENA;RECEPCIONISTA;;;
38426730;HENRY;ALEJANDRO;CONTABLE;;;
15130810;HERMIDA;ANAHI;GERENTE GESTION FINANCIERA;;;
37502160;HERNADEZ;CARLOS WASHINGTON;OPERARIO PRODUCCIÓN;;;
13914250;HERNANDEZ;SILVIO;TÉCNICO DESARROLLO;;;
12363660;IRURETA;RUTH;TÉCNICO DESARROLLO;;;
16695560;IRURUETA;ERNESTO;OFICIAL MANTENIMIENTO;;;
28184660;ISAZA;MIGUEL ANGEL;CLARKISTA;;;
15052050;ISLAS;ARIADNA;OPERARIO PRODUCCIÓN;;;
13179230;ITUARTE;MILTON EUGENIO;TÉCNICO DESARROLLO;;;
15860720;ITUARTE;LUIS;TÉCNICO DESARROLLO;;;
31603220;ITURRALDE;PABLO LUIS;JEFE MANTENIMIENTO;;;
15152600;JAUREGUI;FRANCISCO MARIA;CONTABLE;;;
18450220;JAVIER;JUVENAL MARÍA;OPERARIO LIMPIEZA;;;
34540380;JELPO;BLAS ALBERTO;OPERARIO PRODUCCIÓN;;;
14433280;JIMENEZ DE ARECHAGA;INES;OPERARIO EXPEDICIÓN;;;
14137160;JONES;CECILIA ROXANA;OPERARIO EXPEDICIÓN;;;
10953150;JORAJURIA;FERNANDO;OPERARIO DEPÓSITO;;;
25888810;JOURDAN;JOHN ROBERT;OPERARIO DEPÓSITO;;;
18674860;KAMAID;JOSE ANTONIO;OPERARIO DEPÓSITO;;;
11325300;KAPLUN;GABRIEL;OPERARIO PRODUCCIÓN;;;
12485080;KECHICHIAN;NORMA LILIAM;OPERARIO DEPÓSITO;;;
25471120;KELLAND;CLAUDIA GISELLE;OPERARIO EXPEDICIÓN;;;
19436560;KEUROGLIAN;FLORENCE;TÉCNICO DESARROLLO;;;
34862450;KLETT;SELVA ANABELLA;SISTEMAS;;;
17779850;KNOBEL;ANA VICTORIA;OPERARIO PRODUCCIÓN;;;
34335800;KRASOVSKI;EDISON HERIBERTO;OPERARIO DEPÓSITO;;;
19020500;KREIMERMAN;ROBERTO;OPERARIO EXPEDICIÓN;;;
26627760;LABAT;JUAN PABLO;OPERARIO LIMPIEZA;;;
34980890;LABELLA;MAURO;TÉCNICO DESARROLLO;;;
29379880;LACA;TABARE ALEJANDRO;TÉCNICO DESARROLLO;;;
19119360;LACALLE;LUIS ALBERTO;OFICIAL MANTENIMIENTO;;;
19008010;LACKNER;RICARDO GABRIEL;OPERARIO PRODUCCIÓN;;;
16216600;LACROIX;GUILLERMO HECTOR;OPERARIO DEPÓSITO;;;
11642810;LAFFITTE;FANNY ALICIA;OPERARIO EXPEDICIÓN;;;
35223080;LAFLUF;OMAR MARIA;TÉCNICO LABORATORIO;;;
36495570;LAFUENTE;ANTONIO MIGUEL;INGENIERO LABORATORIO;;;
41427530;LEDESMA;MARIA DEL ROSARIO;RECEPCIONISTA;;;
35859280;LEIVA;MARIO JAVIER;SISTEMAS;;;
18084270;LEMOS;MARIA CRISTINA;OPERARIO PRODUCCIÓN;;;
28096830;LOPEZ;SERGIO OMAR;OPERARIO DEPÓSITO;;;
30338100;LOPEZ;GUZMÁN;OPERARIO EXPEDICIÓN;;;
17486180;LOPEZ;MARCELA AMALIA;OPERARIO DEPÓSITO;;;
18967160;MACCIO;TERESITA;OPERARIO PRODUCCIÓN;;;
15095330;MACHADO;SILVIA MABEL;OPERARIO DEPÓSITO;;;
13392550;MACIEL;ANTONIO;OPERARIO EXPEDICIÓN;;;
13960510;MACIEL;FAUSTO ALEJANDRO;TÉCNICO DESARROLLO;;;
12533720;MAGGI;ANA MARÍA;TÉCNICO DESARROLLO;;;
13898590;MAGLIA;ALVARO MARIA;JEFE PLANTA;;;
18966670;MAGNIFICO;FERNANDO;OPERARIO PRODUCCIÓN;;;
26204290;MAGNONE;ANDRES OSCAR;OPERARIO DEPÓSITO;;;
19363840;MARTINEZ;DARDO ALEJANDRO;OPERARIO EXPEDICIÓN;;;
34677170;MARTINEZ;ANA KARINA;OPERARIO PRODUCCIÓN;;;
10898350;MARTINEZ;EDUARDO BERNABE;OPERARIO PRODUCCIÓN;;;
32235390;MARTINEZ;GERARDO CELSO;JEFE MANTENIMIENTO;;;
8757560;MARTINEZ;BEATRIZ MARIA;OPERARIO PRODUCCIÓN;;;
18407020;NION;DANIEL;OPERARIO DEPÓSITO;;;
12614500;NIPOLI;SILVIA;OPERARIO EXPEDICIÓN;;;
30130740;NOBELASCO;CARLOS SERGIO;OPERARIO PRODUCCIÓN;;;
28126210;NOBOA;ALEJANDRO;OPERARIO DEPÓSITO;;;
14262510;NOGUEIRA;CRISTOBAL;OPERARIO PRODUCCIÓN;;;
15716210;NOGUEIRA DE MELLO;ZOSIMO;OPERARIO DEPÓSITO;;;
26445980;NOGUERA;JOSE LUIS;OPERARIO EXPEDICIÓN;;;
36418900;NONI;MARÍA EUGENIA;OPERARIO PRODUCCIÓN;;;
35802890;OLASCUAGA;MARIA DEL CARMEN;OPERARIO DEPÓSITO;;;
11369000;OLDENBURG;PATRICIA;OPERARIO EXPEDICIÓN;;;
15444470;OLEAURRE;MAXIMO;CONDUCTOR;;;
12806220;OLESKER;DANIEL;LEGALES;;;
12547070;OLIVER;JULIA ALBA;OPERARIO PRODUCCIÓN;;;
26199730;OLIVERA;HECTOR RAUL;OPERARIO DEPÓSITO;;;
19880340;OLIVERA;OVIDIO ERNESTO;OPERARIO EXPEDICIÓN;;;
13551670;O'NEILL;MARGARITA RAQUEL;INGENIERO LABORATORIO;;;
18513420;ONETTO;RAUL ALBERTO;JEFE PERSONAL;;;
15244120;OPERTTI;LORELEY;OPERARIO PRODUCCIÓN;;;
31572000;ORELLANO;ALFREDO VICTOR;OPERARIO DEPÓSITO;;;
30591940;ORTIZ;FACUNDO;OPERARIO EXPEDICIÓN;;;
13790310;PALERMO;CARLOS ANTONIO;OPERARIO PRODUCCIÓN;;;
34142620;PALMA;ALFREDO OSCAR GERARD;OPERARIO DEPÓSITO;;;
19743910;PALOU;CARLOS ALBERTO;OPERARIO PRODUCCIÓN;;;
31530000;PANIAGUA;LIDIO ROSAMEL;OPERARIO DEPÓSITO;;;
13118880;PAPADOPULOS;JORGE DANIEL;OPERARIO EXPEDICIÓN;;;
17602750;PAPICH;MARTIN;INGENIERO LABORATORIO;;;
17601610;PARADEDA;MIGUEL A.;OPERARIO PRODUCCIÓN;;;
31264180;PARADUJA;NANCY;OPERARIO DEPÓSITO;;;
17833430;PARDIÑAS;ANGEL YERU;OPERARIO LIMPIEZA;;;
31726010;PARDO;MARIA JIMENA;OPERARIO LIMPIEZA;;;
36692450;PEREZ;MARIA FERNANDA;OPERARIO PRODUCCIÓN;;;
27424950;PEREZ;MARCELO CLAUDIO;OPERARIO DEPÓSITO;;;
11154590;QUEIJO;ALBERTO GERMAN;OPERARIO EXPEDICIÓN;;;
28299380;QUEIROS;RICARDO ALMET;CONDUCTOR;;;
25514900;QUEVEDO;ANA MARIA;LEGALES;;;
